time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4811, 0.004781, 0, 3, 0, 0, 0
1, 4583, 0.006328, 0, 2, 0, 0, 0
2, 4640, 0.025216, 0, 36, 0, 0, 0
3, 4884, 0.003890, 0, 2, 0, 0, 0
4, 4884, 0.001843, 0, 2, 0, 0, 0
5, 4855, 0.005767, 0, 2, 0, 0, 0
6, 4753, 0.007364, 0, 4, 0, 0, 0
7, 4681, 0.007263, 0, 2, 0, 0, 0
8, 4816, 0.004568, 0, 2, 0, 0, 0
9, 4803, 0.004580, 0, 2, 0, 0, 0
10, 4814, 0.003739, 0, 2, 0, 0, 0
11, 4809, 0.006862, 0, 2, 0, 0, 0
12, 4591, 0.013069, 0, 6, 0, 0, 0
13, 4930, 0.003043, 0, 2, 0, 0, 0
14, 4869, 0.004724, 0, 2, 0, 0, 0
15, 4760, 0.006933, 0, 2, 0, 0, 0
16, 4712, 0.007003, 0, 4, 0, 0, 0
17, 4797, 0.007296, 0, 3, 0, 0, 0
18, 4889, 0.004091, 0, 3, 0, 0, 0
19, 4930, 0.003448, 0, 2, 0, 0, 0
20, 4815, 0.003946, 0, 2, 0, 0, 0
21, 4677, 0.006628, 0, 3, 0, 0, 0
22, 4576, 0.007649, 0, 4, 0, 0, 0
23, 4794, 0.004589, 0, 2, 0, 0, 0
24, 4778, 0.004186, 0, 2, 0, 0, 0
25, 4724, 0.007621, 0, 2, 0, 0, 0
26, 4525, 0.009724, 0, 4, 0, 0, 0
27, 4610, 0.006074, 0, 2, 0, 0, 0
28, 4772, 0.003982, 0, 2, 0, 0, 0
29, 4738, 0.003799, 0, 2, 0, 0, 0
30, 4768, 0.003985, 0, 2, 0, 0, 0
31, 4663, 0.005576, 0, 3, 0, 0, 0
32, 4443, 0.017556, 0, 11, 0, 0, 0
33, 4760, 0.003571, 0, 2, 0, 0, 0
34, 4819, 0.003113, 0, 2, 0, 0, 0
35, 4624, 0.004974, 0, 2, 0, 0, 0
36, 4495, 0.007564, 0, 2, 0, 0, 0
37, 4383, 0.008898, 0, 2, 0, 0, 0
38, 4544, 0.004621, 0, 2, 0, 0, 0
39, 4572, 0.006124, 0, 2, 0, 0, 0
40, 4491, 0.005789, 0, 2, 0, 0, 0
41, 4298, 0.011633, 0, 2, 0, 0, 0
42, 4210, 0.010926, 0, 2, 0, 0, 0
43, 3691, 0.055270, 0, 34, 0, 0, 0
44, 4309, 0.006034, 0, 2, 0, 0, 0
45, 4104, 0.012671, 0, 2, 0, 0, 0
46, 4066, 0.018938, 0, 3, 0, 0, 0
47, 4096, 0.017334, 0, 3, 0, 0, 0
48, 4094, 0.013190, 0, 2, 0, 0, 0
49, 4195, 0.009297, 0, 2, 0, 0, 0
50, 4104, 0.012427, 0, 2, 0, 0, 0
51, 3984, 0.015562, 0, 3, 0, 0, 0
52, 3979, 0.017090, 0, 2, 0, 0, 0
53, 4088, 0.012965, 0, 3, 0, 0, 0
54, 4024, 0.012674, 0, 2, 0, 0, 0
55, 3925, 0.018854, 0, 2, 0, 0, 0
56, 3901, 0.019995, 0, 3, 0, 0, 0
57, 3785, 0.022457, 0, 4, 0, 0, 0
58, 4026, 0.013910, 0, 2, 0, 0, 0
59, 4033, 0.010414, 0, 2, 0, 0, 0
60, 24, 0.000000, 0, 0, 0, 0, 0
