time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4513, 0.007312, 0, 2, 0, 0, 0
1, 4508, 0.008651, 0, 2, 0, 0, 0
2, 4649, 0.007959, 0, 3, 0, 0, 0
3, 4614, 0.004985, 0, 2, 0, 0, 0
4, 4311, 0.012062, 0, 4, 0, 0, 0
5, 3982, 0.028378, 0, 3, 0, 0, 0
6, 3561, 0.049143, 0, 4, 0, 0, 0
7, 4039, 0.016588, 0, 3, 0, 0, 0
8, 4013, 0.019686, 0, 7, 0, 0, 0
9, 4088, 0.013699, 0, 2, 0, 0, 0
10, 2968, 0.095013, 0, 3, 0, 0, 0
11, 3913, 0.024534, 0, 3, 0, 0, 0
12, 4008, 0.021956, 0, 3, 0, 0, 0
13, 4172, 0.013663, 0, 2, 0, 0, 0
14, 4161, 0.013699, 0, 3, 0, 0, 0
15, 3213, 0.070650, 0, 4, 0, 0, 0
16, 3658, 0.048660, 0, 3, 0, 0, 0
17, 3973, 0.018122, 0, 3, 0, 0, 0
18, 3743, 0.028320, 0, 3, 0, 0, 0
19, 3909, 0.020977, 0, 3, 0, 0, 0
20, 3788, 0.026399, 0, 4, 0, 0, 0
21, 3303, 0.072661, 0, 5, 0, 0, 0
22, 1926, 0.425234, 0, 77, 0, 0, 0
23, 1269, 0.791174, 0, 43, 0, 0, 1
24, 1537, 0.916070, 0, 165, 0, 1, 1
25, 2677, 0.204707, 0, 73, 0, 0, 0
26, 3880, 0.020876, 0, 3, 0, 0, 0
27, 4007, 0.023709, 0, 9, 0, 0, 0
28, 4102, 0.015602, 0, 2, 0, 0, 0
29, 4352, 0.008502, 0, 3, 0, 0, 0
30, 4276, 0.013564, 0, 2, 0, 0, 0
31, 4165, 0.016807, 0, 2, 0, 0, 0
32, 4287, 0.012363, 0, 2, 0, 0, 0
33, 4421, 0.005429, 0, 2, 0, 0, 0
34, 4351, 0.009653, 0, 2, 0, 0, 0
35, 4290, 0.015618, 0, 3, 0, 0, 0
36, 4155, 0.013478, 0, 2, 0, 0, 0
37, 3399, 0.120918, 0, 22, 0, 0, 0
38, 4333, 0.012924, 0, 3, 0, 0, 0
39, 4316, 0.011353, 0, 2, 0, 0, 0
40, 4318, 0.009727, 0, 3, 0, 0, 0
41, 4139, 0.018604, 0, 3, 0, 0, 0
42, 4241, 0.016506, 0, 2, 0, 0, 0
43, 3502, 0.041690, 0, 5, 0, 0, 0
44, 3469, 0.044393, 0, 3, 0, 0, 0
45, 4286, 0.009566, 0, 2, 0, 0, 0
46, 4205, 0.013555, 0, 2, 0, 0, 0
47, 4349, 0.007818, 0, 2, 0, 0, 0
48, 4378, 0.008223, 0, 3, 0, 0, 0
49, 4322, 0.008561, 0, 3, 0, 0, 0
50, 4068, 0.012045, 0, 2, 0, 0, 0
51, 4011, 0.019696, 0, 3, 0, 0, 0
52, 3951, 0.022779, 0, 3, 0, 0, 0
53, 4055, 0.018002, 0, 5, 0, 0, 0
54, 4123, 0.012127, 0, 2, 0, 0, 0
55, 3998, 0.017509, 0, 2, 0, 0, 0
56, 3099, 0.097773, 0, 10, 0, 0, 0
57, 3945, 0.047909, 0, 20, 0, 0, 0
58, 4179, 0.013400, 0, 2, 0, 0, 0
59, 4057, 0.016515, 0, 3, 0, 0, 0
60, 26, 0.000000, 0, 0, 0, 0, 0
