time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2779, 0.073768, 0, 3, 0, 0, 0
1, 2861, 0.045439, 0, 2, 0, 0, 0
2, 2895, 0.034542, 0, 3, 0, 0, 0
3, 2924, 0.028728, 0, 2, 0, 0, 0
4, 2752, 0.063590, 0, 2, 0, 0, 0
5, 2617, 0.102789, 0, 18, 0, 0, 0
6, 2742, 0.081327, 0, 3, 0, 0, 0
7, 2840, 0.039085, 0, 3, 0, 0, 0
8, 2750, 0.067273, 0, 2, 0, 0, 0
9, 2711, 0.068241, 0, 3, 0, 0, 0
10, 2620, 0.109542, 0, 2, 0, 0, 0
11, 2670, 0.086142, 0, 3, 0, 0, 0
12, 2729, 0.065225, 0, 3, 0, 0, 0
13, 2753, 0.051943, 0, 3, 0, 0, 0
14, 2667, 0.087739, 0, 3, 0, 0, 0
15, 2637, 0.100493, 0, 2, 0, 0, 0
16, 2688, 0.078125, 0, 2, 0, 0, 0
17, 2759, 0.055092, 0, 2, 0, 0, 0
18, 2782, 0.052840, 0, 2, 0, 0, 0
19, 2625, 0.103238, 0, 3, 0, 0, 0
20, 2644, 0.098714, 0, 3, 0, 0, 0
21, 2641, 0.093904, 0, 2, 0, 0, 0
22, 2769, 0.052365, 0, 2, 0, 0, 0
23, 2705, 0.073567, 0, 3, 0, 0, 0
24, 2670, 0.089888, 0, 2, 0, 0, 0
25, 2590, 0.112741, 0, 2, 0, 0, 0
26, 2684, 0.093145, 0, 3, 0, 0, 0
27, 2743, 0.059789, 0, 2, 0, 0, 0
28, 2752, 0.061410, 0, 2, 0, 0, 0
29, 2755, 0.064247, 0, 2, 0, 0, 0
30, 2646, 0.092215, 0, 2, 0, 0, 0
31, 2689, 0.093715, 0, 3, 0, 0, 0
32, 2726, 0.064197, 0, 3, 0, 0, 0
33, 2798, 0.043960, 0, 2, 0, 0, 0
34, 2757, 0.073268, 0, 2, 0, 0, 0
35, 2687, 0.091552, 0, 6, 0, 0, 0
36, 2740, 0.078467, 0, 2, 0, 0, 0
37, 2775, 0.063423, 0, 3, 0, 0, 0
38, 2798, 0.063974, 0, 3, 0, 0, 0
39, 2777, 0.064458, 0, 2, 0, 0, 0
40, 2793, 0.064805, 0, 2, 0, 0, 0
41, 2794, 0.070150, 0, 2, 0, 0, 0
42, 2720, 0.084926, 0, 23, 0, 0, 0
43, 2918, 0.040781, 0, 2, 0, 0, 0
44, 2809, 0.063724, 0, 3, 0, 0, 0
45, 2809, 0.070844, 0, 2, 0, 0, 0
46, 2836, 0.056065, 0, 3, 0, 0, 0
47, 2926, 0.039303, 0, 2, 0, 0, 0
48, 2889, 0.041537, 0, 3, 0, 0, 0
49, 2855, 0.043082, 0, 3, 0, 0, 0
50, 2742, 0.085704, 0, 3, 0, 0, 0
51, 2853, 0.057133, 0, 3, 0, 0, 0
52, 2911, 0.032635, 0, 2, 0, 0, 0
53, 2888, 0.040512, 0, 2, 0, 0, 0
54, 2879, 0.050365, 0, 3, 0, 0, 0
55, 2725, 0.084404, 0, 3, 0, 0, 0
56, 2807, 0.064482, 0, 2, 0, 0, 0
57, 2887, 0.040873, 0, 3, 0, 0, 0
58, 2837, 0.057103, 0, 2, 0, 0, 0
59, 2896, 0.043854, 0, 3, 0, 0, 0
60, 10, 0.300000, 0, 1, 0, 0, 1
