time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6116, 0.102027, 0, 3, 0, 0, 0
1, 5975, 0.105105, 0, 3, 0, 0, 0
2, 6239, 0.091361, 0, 3, 0, 0, 0
3, 6373, 0.082536, 0, 3, 0, 0, 0
4, 5819, 0.117718, 0, 3, 0, 0, 0
5, 6340, 0.085174, 0, 3, 0, 0, 0
6, 6431, 0.077593, 0, 2, 0, 0, 0
7, 6363, 0.079365, 0, 3, 0, 0, 0
8, 7017, 0.052729, 0, 3, 0, 0, 0
9, 6840, 0.056725, 0, 2, 0, 0, 0
10, 7018, 0.049729, 0, 2, 0, 0, 0
11, 6478, 0.075178, 0, 3, 0, 0, 0
12, 6296, 0.088469, 0, 3, 0, 0, 0
13, 6391, 0.080426, 0, 4, 0, 0, 0
14, 6575, 0.069962, 0, 2, 0, 0, 0
15, 6168, 0.090143, 0, 3, 0, 0, 0
16, 6064, 0.101748, 0, 2, 0, 0, 0
17, 5975, 0.110460, 0, 3, 0, 0, 0
18, 6242, 0.088433, 0, 2, 0, 0, 0
19, 6512, 0.074478, 0, 3, 0, 0, 0
20, 6979, 0.051727, 0, 2, 0, 0, 0
21, 6448, 0.078474, 0, 3, 0, 0, 0
22, 6356, 0.086532, 0, 3, 0, 0, 0
23, 6760, 0.062278, 0, 2, 0, 0, 0
24, 6584, 0.070930, 0, 2, 0, 0, 0
25, 6266, 0.086658, 0, 3, 0, 0, 0
26, 5864, 0.118861, 0, 16, 0, 0, 0
27, 5992, 0.104806, 0, 3, 0, 0, 0
28, 6361, 0.078604, 0, 3, 0, 0, 0
29, 6450, 0.075194, 0, 2, 0, 0, 0
30, 6401, 0.078738, 0, 3, 0, 0, 0
31, 5988, 0.103874, 0, 3, 0, 0, 0
32, 6154, 0.092460, 0, 3, 0, 0, 0
33, 6416, 0.072787, 0, 3, 0, 0, 0
34, 6478, 0.076721, 0, 3, 0, 0, 0
35, 6734, 0.063261, 0, 3, 0, 0, 0
36, 6261, 0.081776, 0, 3, 0, 0, 0
37, 6043, 0.095317, 0, 3, 0, 0, 0
38, 6155, 0.096344, 0, 4, 0, 0, 0
39, 6203, 0.088667, 0, 3, 0, 0, 0
40, 6414, 0.074836, 0, 3, 0, 0, 0
41, 5773, 0.122813, 0, 2, 0, 0, 0
42, 5630, 0.129485, 0, 6, 0, 0, 0
43, 5845, 0.108811, 0, 3, 0, 0, 0
44, 5443, 0.141650, 0, 3, 0, 0, 0
45, 5670, 0.124339, 0, 3, 0, 0, 0
46, 5114, 0.178530, 0, 4, 0, 0, 0
47, 5204, 0.163912, 0, 4, 0, 0, 0
48, 5286, 0.144344, 0, 3, 0, 0, 0
49, 5337, 0.142215, 0, 4, 0, 0, 0
50, 5421, 0.133370, 0, 3, 0, 0, 0
51, 5122, 0.150722, 0, 4, 0, 0, 0
52, 5028, 0.178600, 0, 3, 0, 0, 0
53, 5213, 0.159793, 0, 4, 0, 0, 0
54, 5021, 0.171878, 0, 3, 0, 0, 0
55, 5171, 0.158770, 0, 4, 0, 0, 0
56, 4718, 0.208139, 0, 5, 0, 0, 0
57, 4441, 0.242738, 0, 4, 0, 0, 0
58, 4817, 0.200955, 0, 3, 0, 0, 0
59, 4741, 0.217254, 0, 4, 0, 0, 0
60, 5, 0.200000, 0, 1, 0, 0, 0
