time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3419, 0.014624, 0, 2, 0, 0, 0
1, 3473, 0.010366, 0, 2, 0, 0, 0
2, 3269, 0.043438, 0, 3, 0, 0, 0
3, 3299, 0.026675, 0, 2, 0, 0, 0
4, 3222, 0.034451, 0, 3, 0, 0, 0
5, 3300, 0.019697, 0, 2, 0, 0, 0
6, 3289, 0.024932, 0, 3, 0, 0, 0
7, 3147, 0.050524, 0, 2, 0, 0, 0
8, 3195, 0.043818, 0, 2, 0, 0, 0
9, 3193, 0.034764, 0, 4, 0, 0, 0
10, 3195, 0.026291, 0, 2, 0, 0, 0
11, 3184, 0.027010, 0, 3, 0, 0, 0
12, 2986, 0.061621, 0, 2, 0, 0, 0
13, 3002, 0.069953, 0, 3, 0, 0, 0
14, 3065, 0.041762, 0, 2, 0, 0, 0
15, 3033, 0.056050, 0, 3, 0, 0, 0
16, 2044, 0.394325, 0, 21, 0, 0, 0
17, 2003, 0.419371, 0, 42, 0, 0, 1
18, 2853, 0.096039, 0, 2, 0, 0, 0
19, 2666, 0.153413, 0, 5, 0, 0, 0
20, 2320, 0.265086, 0, 10, 0, 0, 0
21, 3011, 0.056792, 0, 3, 0, 0, 0
22, 2826, 0.101203, 0, 3, 0, 0, 0
23, 2934, 0.074301, 0, 2, 0, 0, 0
24, 3018, 0.051690, 0, 2, 0, 0, 0
25, 2929, 0.074087, 0, 3, 0, 0, 0
26, 3037, 0.052025, 0, 2, 0, 0, 0
27, 2854, 0.095305, 0, 2, 0, 0, 0
28, 2929, 0.072721, 0, 3, 0, 0, 0
29, 3030, 0.051485, 0, 3, 0, 0, 0
30, 3038, 0.044108, 0, 2, 0, 0, 0
31, 3047, 0.046931, 0, 2, 0, 0, 0
32, 2837, 0.097638, 0, 4, 0, 0, 0
33, 2903, 0.081640, 0, 2, 0, 0, 0
34, 3066, 0.046967, 0, 3, 0, 0, 0
35, 2855, 0.088616, 0, 4, 0, 0, 0
36, 3008, 0.054521, 0, 3, 0, 0, 0
37, 2891, 0.084054, 0, 4, 0, 0, 0
38, 2907, 0.089439, 0, 2, 0, 0, 0
39, 2992, 0.058155, 0, 2, 0, 0, 0
40, 3058, 0.040222, 0, 2, 0, 0, 0
41, 3116, 0.041720, 0, 2, 0, 0, 0
42, 2988, 0.059906, 0, 2, 0, 0, 0
43, 3023, 0.064505, 0, 2, 0, 0, 0
44, 3216, 0.026119, 0, 2, 0, 0, 0
45, 3125, 0.049600, 0, 2, 0, 0, 0
46, 3152, 0.032995, 0, 3, 0, 0, 0
47, 2891, 0.094085, 0, 33, 0, 0, 0
48, 3103, 0.059942, 0, 3, 0, 0, 0
49, 3231, 0.032188, 0, 2, 0, 0, 0
50, 3242, 0.029920, 0, 2, 0, 0, 0
51, 3334, 0.024595, 0, 2, 0, 0, 0
52, 3151, 0.047604, 0, 2, 0, 0, 0
53, 3164, 0.047724, 0, 2, 0, 0, 0
54, 3286, 0.027693, 0, 2, 0, 0, 0
55, 3156, 0.048162, 0, 3, 0, 0, 0
56, 3283, 0.026196, 0, 2, 0, 0, 0
57, 3147, 0.045440, 0, 3, 0, 0, 0
58, 3137, 0.045904, 0, 4, 0, 0, 0
59, 3242, 0.031771, 0, 2, 0, 0, 0
60, 14, 0.000000, 0, 0, 0, 0, 0
