time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4606, 0.007599, 0, 2, 0, 0, 0
1, 4688, 0.006826, 0, 3, 0, 0, 0
2, 4891, 0.004294, 0, 2, 0, 0, 0
3, 4964, 0.002619, 0, 2, 0, 0, 0
4, 4946, 0.003033, 0, 2, 0, 0, 0
5, 4763, 0.007348, 0, 2, 0, 0, 0
6, 4550, 0.009890, 0, 2, 0, 0, 0
7, 4935, 0.002837, 0, 2, 0, 0, 0
8, 4942, 0.003238, 0, 2, 0, 0, 0
9, 4979, 0.003816, 0, 2, 0, 0, 0
10, 4760, 0.005252, 0, 2, 0, 0, 0
11, 4698, 0.005747, 0, 2, 0, 0, 0
12, 4775, 0.003979, 0, 2, 0, 0, 0
13, 4708, 0.003186, 0, 2, 0, 0, 0
14, 4663, 0.005576, 0, 2, 0, 0, 0
15, 4428, 0.010163, 0, 2, 0, 0, 0
16, 4352, 0.010340, 0, 3, 0, 0, 0
17, 4451, 0.005392, 0, 2, 0, 0, 0
18, 4438, 0.006760, 0, 2, 0, 0, 0
19, 4450, 0.005618, 0, 2, 0, 0, 0
20, 4139, 0.015946, 0, 4, 0, 0, 0
21, 4137, 0.016195, 0, 2, 0, 0, 0
22, 4243, 0.010134, 0, 2, 0, 0, 0
23, 4320, 0.007407, 0, 2, 0, 0, 0
24, 4100, 0.012439, 0, 6, 0, 0, 0
25, 3963, 0.018420, 0, 4, 0, 0, 0
26, 3777, 0.027535, 0, 3, 0, 0, 0
27, 3017, 0.125290, 0, 6, 0, 0, 0
28, 1925, 0.370390, 0, 202, 0, 0, 0
29, 3654, 0.032020, 0, 3, 0, 0, 0
30, 3624, 0.041391, 0, 3, 0, 0, 0
31, 3605, 0.033564, 0, 2, 0, 0, 0
32, 3873, 0.020914, 0, 3, 0, 0, 0
33, 3823, 0.026157, 0, 4, 0, 0, 0
34, 3891, 0.018761, 0, 2, 0, 0, 0
35, 3661, 0.037148, 0, 2, 0, 0, 0
36, 3476, 0.046605, 0, 2, 0, 0, 0
37, 3908, 0.016121, 0, 2, 0, 0, 0
38, 3857, 0.019445, 0, 3, 0, 0, 0
39, 3862, 0.017607, 0, 2, 0, 0, 0
40, 3391, 0.059275, 0, 4, 0, 0, 0
41, 3041, 0.121013, 0, 11, 0, 0, 0
42, 2752, 0.200581, 0, 24, 0, 0, 0
43, 3516, 0.046644, 0, 3, 0, 0, 0
44, 3607, 0.033546, 0, 2, 0, 0, 0
45, 3544, 0.041479, 0, 4, 0, 0, 0
46, 3596, 0.036707, 0, 3, 0, 0, 0
47, 3791, 0.025059, 0, 2, 0, 0, 0
48, 3378, 0.066311, 0, 3, 0, 0, 0
49, 2981, 0.108688, 0, 4, 0, 0, 0
50, 3480, 0.043966, 0, 3, 0, 0, 0
51, 3665, 0.027285, 0, 2, 0, 0, 0
52, 3914, 0.017374, 0, 3, 0, 0, 0
53, 3876, 0.018834, 0, 3, 0, 0, 0
54, 3925, 0.016815, 0, 2, 0, 0, 0
55, 3887, 0.021868, 0, 2, 0, 0, 0
56, 3659, 0.037989, 0, 24, 0, 0, 0
57, 3859, 0.023063, 0, 2, 0, 0, 0
58, 3997, 0.016012, 0, 2, 0, 0, 0
59, 4177, 0.009576, 0, 2, 0, 0, 0
60, 2, 0.000000, 0, 0, 0, 0, 0
