time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4485, 0.008919, 0, 2, 0, 0, 0
1, 4463, 0.014564, 0, 5, 0, 0, 0
2, 4523, 0.007959, 0, 3, 0, 0, 0
3, 4547, 0.007477, 0, 2, 0, 0, 0
4, 4275, 0.023158, 0, 25, 0, 0, 0
5, 4041, 0.045286, 0, 35, 0, 0, 0
6, 4115, 0.028190, 0, 3, 0, 0, 0
7, 3198, 0.134146, 0, 29, 0, 0, 0
8, 3687, 0.049634, 0, 5, 0, 0, 0
9, 4324, 0.010407, 0, 2, 0, 0, 0
10, 4298, 0.025826, 0, 32, 0, 0, 0
11, 4524, 0.007958, 0, 2, 0, 0, 0
12, 4530, 0.012804, 0, 2, 0, 0, 0
13, 4591, 0.009584, 0, 2, 0, 0, 0
14, 4651, 0.006235, 0, 3, 0, 0, 0
15, 4777, 0.003559, 0, 2, 0, 0, 0
16, 4651, 0.005375, 0, 2, 0, 0, 0
17, 4518, 0.006197, 0, 2, 0, 0, 0
18, 4413, 0.008384, 0, 2, 0, 0, 0
19, 4221, 0.012793, 0, 2, 0, 0, 0
20, 4289, 0.009792, 0, 2, 0, 0, 0
21, 4351, 0.008504, 0, 2, 0, 0, 0
22, 4183, 0.013866, 0, 2, 0, 0, 0
23, 4022, 0.011934, 0, 2, 0, 0, 0
24, 3884, 0.020855, 0, 2, 0, 0, 0
25, 3989, 0.012534, 0, 2, 0, 0, 0
26, 4000, 0.014000, 0, 2, 0, 0, 0
27, 3894, 0.017206, 0, 2, 0, 0, 0
28, 3575, 0.045035, 0, 3, 0, 0, 0
29, 3646, 0.029073, 0, 3, 0, 0, 0
30, 3743, 0.026984, 0, 2, 0, 0, 0
31, 3407, 0.068976, 0, 33, 0, 0, 0
32, 3711, 0.028833, 0, 3, 0, 0, 0
33, 3623, 0.040574, 0, 3, 0, 0, 0
34, 3445, 0.054282, 0, 25, 0, 0, 0
35, 3801, 0.023415, 0, 2, 0, 0, 0
36, 3832, 0.023225, 0, 2, 0, 0, 0
37, 3851, 0.021813, 0, 2, 0, 0, 0
38, 3616, 0.039546, 0, 4, 0, 0, 0
39, 3662, 0.030038, 0, 2, 0, 0, 0
40, 3702, 0.030794, 0, 2, 0, 0, 0
41, 3649, 0.032612, 0, 2, 0, 0, 0
42, 3713, 0.028818, 0, 3, 0, 0, 0
43, 3409, 0.049281, 0, 3, 0, 0, 0
44, 3545, 0.044006, 0, 2, 0, 0, 0
45, 3699, 0.025953, 0, 3, 0, 0, 0
46, 3599, 0.043623, 0, 33, 0, 0, 0
47, 3640, 0.029670, 0, 2, 0, 0, 0
48, 3480, 0.044253, 0, 2, 0, 0, 0
49, 3488, 0.043291, 0, 3, 0, 0, 0
50, 3678, 0.029636, 0, 3, 0, 0, 0
51, 3651, 0.032594, 0, 2, 0, 0, 0
52, 3595, 0.034492, 0, 2, 0, 0, 0
53, 3234, 0.075758, 0, 29, 0, 0, 0
54, 3538, 0.037875, 0, 2, 0, 0, 0
55, 3718, 0.025282, 0, 2, 0, 0, 0
56, 3671, 0.026968, 0, 2, 0, 0, 0
57, 3755, 0.023169, 0, 2, 0, 0, 0
58, 3523, 0.037752, 0, 2, 0, 0, 0
59, 3527, 0.035157, 0, 2, 0, 0, 0
60, 12, 0.000000, 0, 0, 0, 0, 0
