time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3721, 0.026068, 0, 2, 0, 0, 0
1, 3776, 0.025953, 0, 2, 0, 0, 0
2, 4065, 0.006642, 0, 2, 0, 0, 0
3, 3983, 0.009038, 0, 2, 0, 0, 0
4, 3912, 0.015337, 0, 3, 0, 0, 0
5, 3608, 0.045455, 0, 21, 0, 0, 0
6, 3707, 0.025088, 0, 2, 0, 0, 0
7, 3854, 0.011676, 0, 2, 0, 0, 0
8, 3820, 0.015707, 0, 1, 0, 0, 0
9, 3836, 0.011470, 0, 2, 0, 0, 0
10, 3522, 0.030948, 0, 2, 0, 0, 0
11, 3504, 0.034532, 0, 3, 0, 0, 0
12, 3616, 0.017699, 0, 2, 0, 0, 0
13, 3609, 0.025215, 0, 2, 0, 0, 0
14, 3615, 0.018811, 0, 2, 0, 0, 0
15, 3435, 0.047453, 0, 3, 0, 0, 0
16, 3456, 0.036458, 0, 2, 0, 0, 0
17, 3664, 0.015557, 0, 2, 0, 0, 0
18, 3634, 0.018437, 0, 3, 0, 0, 0
19, 3595, 0.022809, 0, 3, 0, 0, 0
20, 3451, 0.044045, 0, 3, 0, 0, 0
21, 3261, 0.061944, 0, 2, 0, 0, 0
22, 3481, 0.025855, 0, 2, 0, 0, 0
23, 3550, 0.028169, 0, 2, 0, 0, 0
24, 3509, 0.025933, 0, 2, 0, 0, 0
25, 3362, 0.045211, 0, 2, 0, 0, 0
26, 3360, 0.047024, 0, 2, 0, 0, 0
27, 3504, 0.023973, 0, 2, 0, 0, 0
28, 3549, 0.027613, 0, 2, 0, 0, 0
29, 3563, 0.023576, 0, 2, 0, 0, 0
30, 3401, 0.034696, 0, 2, 0, 0, 0
31, 3299, 0.052440, 0, 2, 0, 0, 0
32, 3429, 0.040828, 0, 2, 0, 0, 0
33, 3505, 0.026248, 0, 2, 0, 0, 0
34, 3471, 0.034284, 0, 3, 0, 0, 0
35, 3250, 0.060923, 0, 19, 0, 0, 0
36, 3299, 0.046984, 0, 2, 0, 0, 0
37, 3485, 0.032999, 0, 2, 0, 0, 0
38, 3569, 0.023816, 0, 2, 0, 0, 0
39, 3554, 0.023073, 0, 2, 0, 0, 0
40, 3395, 0.043299, 0, 2, 0, 0, 0
41, 3364, 0.038644, 0, 3, 0, 0, 0
42, 3499, 0.025150, 0, 2, 0, 0, 0
43, 3537, 0.025728, 0, 3, 0, 0, 0
44, 3054, 0.092338, 0, 6, 0, 0, 0
45, 3003, 0.107559, 0, 6, 0, 0, 0
46, 2959, 0.121325, 0, 3, 0, 0, 0
47, 3520, 0.025284, 0, 2, 0, 0, 0
48, 3527, 0.025517, 0, 2, 0, 0, 0
49, 3523, 0.026114, 0, 2, 0, 0, 0
50, 3306, 0.048094, 0, 2, 0, 0, 0
51, 3360, 0.041667, 0, 2, 0, 0, 0
52, 3455, 0.038205, 0, 2, 0, 0, 0
53, 3508, 0.026226, 0, 2, 0, 0, 0
54, 3535, 0.026308, 0, 2, 0, 0, 0
55, 3254, 0.059619, 0, 3, 0, 0, 0
56, 3326, 0.050812, 0, 2, 0, 0, 0
57, 3453, 0.033015, 0, 3, 0, 0, 0
58, 3535, 0.022914, 0, 2, 0, 0, 0
59, 3561, 0.025835, 0, 3, 0, 0, 0
60, 14, 0.142857, 0, 1, 0, 0, 0
