time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4988, 5.888733, 0, 21, 4, 6, 8
1, 4745, 6.207798, 0, 27, 4, 6, 8
2, 4735, 6.243717, 0, 23, 4, 6, 8
3, 4673, 6.325273, 0, 32, 3, 6, 9
4, 4917, 5.978849, 0, 25, 3, 5, 8
5, 4837, 6.100062, 0, 25, 4, 6, 8
6, 4878, 6.031365, 0, 23, 4, 6, 8
7, 4544, 6.500220, 0, 27, 4, 6, 9
8, 4476, 6.618633, 0, 41, 4, 6, 9
9, 4302, 6.924919, 0, 31, 4, 6, 9
10, 4305, 6.907782, 0, 25, 4, 7, 9
11, 4633, 6.374703, 0, 23, 4, 6, 9
12, 4498, 6.594931, 0, 29, 4, 6, 9
13, 3993, 7.497370, 0, 37, 4, 7, 10
14, 4490, 6.601114, 0, 31, 4, 6, 9
15, 4470, 6.633781, 0, 24, 4, 6, 9
16, 4273, 6.966066, 0, 21, 4, 7, 9
17, 4252, 6.987065, 0, 24, 4, 7, 9
18, 4338, 6.832642, 0, 30, 4, 6, 9
19, 4560, 6.489254, 0, 30, 3, 6, 9
20, 4445, 6.678740, 0, 21, 4, 6, 9
21, 4486, 6.614133, 0, 23, 4, 6, 9
22, 4509, 6.569528, 0, 28, 4, 6, 9
23, 4538, 6.502424, 0, 29, 3, 6, 9
24, 4494, 6.604584, 0, 29, 4, 6, 9
25, 4508, 6.569432, 0, 23, 4, 6, 9
26, 4600, 6.430435, 0, 23, 4, 6, 9
27, 4339, 6.845356, 0, 23, 4, 6, 9
28, 4169, 7.161909, 0, 33, 4, 7, 10
29, 4247, 6.999294, 0, 31, 4, 7, 9
30, 4718, 6.257100, 0, 23, 4, 6, 8
31, 4474, 6.631650, 0, 30, 4, 6, 9
32, 4271, 6.973074, 0, 23, 4, 7, 9
33, 4736, 6.219806, 0, 28, 3, 6, 9
34, 4358, 6.833410, 0, 31, 4, 6, 9
35, 4500, 6.570222, 0, 22, 4, 6, 9
36, 4467, 6.642042, 0, 23, 4, 6, 9
37, 4343, 6.832374, 0, 25, 4, 6, 9
38, 4530, 6.550331, 0, 33, 3, 6, 9
39, 4577, 6.439589, 0, 30, 3, 6, 9
40, 4263, 7.002580, 0, 23, 5, 7, 9
41, 4156, 7.153513, 0, 23, 5, 7, 9
42, 4138, 7.202997, 0, 80, 4, 6, 9
43, 4268, 6.977507, 0, 37, 4, 6, 9
44, 4457, 6.643258, 0, 36, 4, 6, 9
45, 4655, 6.362406, 0, 23, 4, 6, 9
46, 4132, 7.222894, 0, 24, 5, 7, 9
47, 4364, 6.808433, 0, 25, 4, 6, 9
48, 4417, 6.709758, 0, 44, 4, 6, 9
49, 4815, 6.122118, 0, 29, 3, 6, 8
50, 4519, 6.562735, 0, 22, 4, 6, 9
51, 4744, 6.204890, 0, 25, 4, 6, 8
52, 4516, 6.561559, 0, 22, 4, 6, 9
53, 4738, 6.225412, 0, 28, 3, 6, 8
54, 4746, 6.217446, 0, 32, 3, 6, 8
55, 4781, 6.167120, 0, 23, 4, 6, 8
56, 4619, 6.406798, 0, 20, 4, 6, 8
57, 4430, 6.697517, 0, 25, 4, 6, 9
58, 4275, 6.950175, 0, 53, 3, 6, 9
59, 4561, 6.497917, 0, 34, 3, 6, 9
60, 18, 6.111111, 2, 10, 5, 6, 8
