time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6665, 0.551538, 0, 7, 0, 0, 1
1, 5241, 0.963938, 0, 17, 0, 1, 1
2, 5486, 0.853263, 0, 19, 0, 1, 1
3, 5855, 0.782579, 0, 7, 0, 1, 1
4, 5826, 0.750944, 0, 8, 0, 1, 1
5, 5948, 0.734869, 0, 6, 0, 1, 1
6, 5914, 0.772574, 0, 8, 0, 1, 1
7, 5391, 0.913745, 0, 9, 0, 1, 1
8, 5825, 0.763605, 0, 13, 0, 1, 1
9, 6051, 0.745827, 0, 11, 0, 1, 1
10, 5329, 0.946331, 0, 21, 0, 1, 1
11, 5374, 0.978973, 0, 23, 0, 1, 1
12, 4967, 1.106302, 0, 20, 1, 1, 1
13, 5615, 0.887979, 0, 8, 0, 1, 1
14, 5787, 0.862450, 0, 6, 0, 1, 1
15, 5391, 0.950659, 0, 8, 0, 1, 1
16, 5333, 0.982186, 0, 11, 1, 1, 1
17, 4408, 1.318058, 0, 28, 1, 1, 2
18, 4768, 1.164430, 0, 18, 1, 1, 1
19, 5301, 0.969628, 0, 21, 0, 1, 1
20, 5543, 0.928739, 0, 8, 0, 1, 1
21, 4858, 1.112804, 0, 19, 1, 1, 1
22, 5263, 1.011020, 0, 8, 1, 1, 1
23, 4931, 1.101602, 0, 13, 1, 1, 1
24, 4548, 1.239666, 0, 53, 1, 1, 1
25, 3303, 1.892219, 0, 79, 1, 1, 2
26, 4871, 1.131800, 0, 11, 1, 1, 1
27, 5055, 1.059941, 0, 16, 0, 1, 1
28, 5522, 0.949656, 0, 8, 1, 1, 1
29, 5881, 0.810746, 0, 6, 0, 1, 1
30, 5597, 0.897981, 0, 6, 0, 1, 1
31, 4830, 1.149896, 0, 12, 1, 1, 1
32, 2660, 2.490602, 0, 127, 1, 1, 2
33, 3852, 1.579699, 0, 41, 1, 1, 2
34, 5868, 0.840150, 0, 7, 0, 1, 1
35, 5904, 0.825711, 0, 7, 0, 1, 1
36, 5850, 0.852991, 0, 6, 0, 1, 1
37, 5016, 1.065789, 0, 9, 1, 1, 1
38, 5409, 0.935108, 0, 8, 0, 1, 1
39, 5717, 0.859892, 0, 6, 0, 1, 1
40, 5463, 0.963390, 0, 10, 1, 1, 1
41, 4930, 1.099189, 0, 25, 1, 1, 1
42, 4547, 1.228282, 0, 51, 0, 1, 1
43, 5620, 0.882918, 0, 15, 0, 1, 1
44, 6055, 0.755574, 0, 5, 0, 1, 1
45, 5720, 0.872378, 0, 6, 0, 1, 1
46, 4007, 1.483654, 0, 41, 1, 1, 2
47, 5109, 1.030926, 0, 13, 0, 1, 1
48, 5436, 0.961369, 0, 8, 1, 1, 1
49, 6055, 0.783650, 0, 5, 0, 1, 1
50, 5835, 0.837361, 0, 6, 0, 1, 1
51, 5752, 0.878651, 0, 8, 0, 1, 1
52, 5261, 0.992777, 0, 10, 0, 1, 1
53, 5589, 0.919485, 0, 10, 0, 1, 1
54, 6222, 0.691418, 0, 5, 0, 1, 1
55, 5917, 0.778604, 0, 5, 0, 1, 1
56, 4834, 1.097435, 0, 53, 0, 1, 1
57, 4313, 1.318804, 0, 36, 1, 1, 1
58, 4849, 1.107651, 0, 54, 0, 1, 1
59, 6323, 0.646529, 0, 5, 0, 1, 1
60, 6, 0.833333, 0, 2, 0, 1, 1
